StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
13,187,"Lumpkin County, GA",15975,15199,776
13,189,"McDuffie County, GA",8802,8150,652
13,191,"McIntosh County, GA",6004,5649,355
13,193,"Macon County, GA",4681,4289,392
13,195,"Madison County, GA",13084,12428,656
13,197,"Marion County, GA",3381,3130,251
13,199,"Meriwether County, GA",8759,8150,609
13,201,"Miller County, GA",2753,2602,151
13,205,"Mitchell County, GA",8569,7999,570
13,207,"Monroe County, GA",13018,12336,682
13,209,"Montgomery County, GA",3725,3444,281
13,211,"Morgan County, GA",8698,8254,444
13,213,"Murray County, GA",15645,14521,1124
13,215,"Muscogee County, GA",78438,73041,5397
13,217,"Newton County, GA",50006,46972,3034
13,219,"Oconee County, GA",18472,17706,766
13,221,"Oglethorpe County, GA",6919,6578,341
13,223,"Paulding County, GA",79648,75914,3734
13,225,"Peach County, GA",11441,10630,811
13,227,"Pickens County, GA",14404,13692,712
13,229,"Pierce County, GA",8556,8097,459
13,231,"Pike County, GA",8402,7961,441
13,233,"Polk County, GA",18072,16948,1124
13,235,"Pulaski County, GA",4039,3799,240
13,237,"Putnam County, GA",7955,7388,567
13,239,"Quitman County, GA",815,755,60
13,241,"Rabun County, GA",6700,6299,401
13,243,"Randolph County, GA",2475,2263,212
13,245,"Richmond County, GA",84842,79035,5807
13,247,"Rockdale County, GA",43254,40714,2540
13,249,"Schley County, GA",2117,1982,135
13,251,"Screven County, GA",5240,4840,400
13,253,"Seminole County, GA",3093,2846,247
13,255,"Spalding County, GA",27798,25863,1935
13,257,"Stephens County, GA",11033,10376,657
13,259,"Stewart County, GA",2138,2000,138
13,261,"Sumter County, GA",12849,11864,985
13,263,"Talbot County, GA",2745,2559,186
13,265,"Taliaferro County, GA",548,510,38
13,267,"Tattnall County, GA",9330,8825,505
13,269,"Taylor County, GA",3323,3071,252
13,271,"Telfair County, GA",4811,4403,408
13,273,"Terrell County, GA",3657,3417,240
13,275,"Thomas County, GA",17533,16425,1108
13,277,"Tift County, GA",18553,17541,1012
13,279,"Toombs County, GA",11789,10856,933
13,281,"Towns County, GA",4108,3825,283
13,283,"Treutlen County, GA",2743,2529,214
13,285,"Troup County, GA",36835,34934,1901
