FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
02,050,6522,1,One cnty,100.0,434,81,45,36,0,2,5,38,14,16,5,1,168,0,1,0,0,12,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,55,4,0,29,0,69,0,0,0
02,060,870,1,One cnty,100.0,39,5,0,5,0,0,0,0,1,3,1,0,9,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,9,0,0,0
02,070,2419,1,One cnty,100.0,340,85,51,34,0,13,2,36,5,25,4,0,69,0,0,0,0,25,3,0,1,9,0,0,0,0,0,9,0,0,0,9,0,0,0,0,5,12,0,19,18,0,94,0,0,0
02,090,34657,4,One cnty,100.0,1443,412,61,351,3,0,12,46,35,288,26,2,225,21,38,11,1,52,28,0,15,50,3,2,1,0,0,47,11,6,2,28,0,0,0,0,7,209,54,0,56,0,264,0,0,0
02,100,2535,1,One cnty,100.0,59,10,3,7,0,0,0,3,4,3,0,0,7,0,0,0,0,0,0,0,2,3,1,1,0,0,0,2,0,2,0,0,0,0,0,0,2,9,1,0,3,0,22,0,0,0
02,105,757,1,One cnty,0.0,44,8,2,6,0,0,0,2,1,4,1,0,7,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,2,0,14,0,0,0
02,110,32964,1,One cnty,100.0,1760,328,112,216,1,2,16,93,35,174,7,0,234,1,24,5,0,53,9,0,2,37,8,0,2,0,6,29,3,23,0,3,0,0,0,0,0,151,212,0,44,0,660,0,0,0
02,122,20815,4,One cnty,100.0,1348,308,62,246,1,3,5,53,11,208,24,3,96,3,7,5,0,17,14,0,8,115,25,12,7,5,1,90,16,33,31,10,0,0,0,0,7,203,45,36,27,0,456,0,0,1
02,130,8221,1,One cnty,100.0,517,95,18,77,0,0,2,16,15,57,4,1,72,1,0,0,0,14,1,0,1,29,16,1,1,14,0,13,0,5,8,0,0,0,0,0,0,52,24,0,44,0,184,0,0,0
02,150,6274,1,One cnty,100.0,315,49,26,23,1,0,4,21,7,7,9,0,42,0,2,0,1,6,4,0,0,20,18,17,0,1,0,2,1,1,0,0,0,0,0,0,1,48,15,0,4,0,123,0,0,0
02,158,0,0,One cnty,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,164,0,0,One cnty,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,170,16544,2,One cnty,100.0,1135,131,35,96,0,0,4,31,11,65,20,0,112,4,0,0,3,27,8,0,5,57,25,8,5,10,2,32,7,11,5,9,0,0,0,0,3,203,36,1,29,0,516,0,0,0
02,180,3846,1,One cnty,100.0,549,53,43,10,0,0,0,43,2,5,3,0,111,0,0,0,0,9,1,0,5,3,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,30,33,4,117,0,183,0,0,0
02,185,9710,1,One cnty,100.0,369,52,27,25,0,1,3,23,16,8,1,0,113,0,0,0,0,11,4,0,4,10,2,2,0,0,0,8,0,4,2,2,0,0,0,0,2,34,9,28,14,0,88,0,0,0
02,188,3290,1,One cnty,100.0,966,134,56,78,2,5,2,47,20,40,15,3,168,0,2,0,0,34,4,0,13,9,3,0,2,0,1,6,0,4,2,0,0,0,0,0,3,76,153,13,40,0,307,0,10,0
02,195,3162,1,One cnty,100.0,78,13,6,7,0,1,0,5,5,2,0,0,24,1,0,0,0,1,0,0,1,5,3,3,0,0,0,2,0,0,2,0,0,0,0,0,0,6,5,0,3,0,19,0,0,0
02,198,2022,2,One cnty,62.1167,109,13,4,10,0,0,0,3,2,7,1,0,20,1,0,0,0,1,0,0,0,6,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,17,6,0,7,0,36,0,0,0
02,220,8836,1,One cnty,100.0,241,15,2,13,0,0,0,2,2,11,0,0,44,2,0,0,0,3,0,0,1,17,1,1,0,0,0,16,4,6,6,0,0,0,0,0,0,47,18,0,11,0,81,0,2,0
02,230,1075,1,One cnty,100.0,15,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
02,240,0,0,One cnty,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,261,6246,3,One cnty,96.5898,219,33,10,24,0,2,0,8,3,17,0,3,26,0,0,0,0,7,2,0,1,8,0,0,0,0,0,8,3,1,3,1,0,0,0,0,1,46,20,2,6,0,66,0,0,0
02,275,2380,1,One cnty,100.0,35,5,0,5,0,0,0,0,1,2,2,0,7,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0
